Date : 2022-11-22 04:36:43
Directory : /Users/tkkwon/Github/2022-11-canto
Total : 429 files,  148721 codes, 27532 comments, 17683 blanks, all 193936 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/keeper.go                                               | Go               |         45 |          1 |          9 |         55 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/keeper_test.go                                          | Go               |        245 |         25 |         49 |        319 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/params.go                                               | Go               |         15 |          2 |          5 |         22 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/params_test.go                                          | Go               |         10 |          3 |          3 |         16 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/compiled_contracts/csrSmartContract.json | JSON             |          5 |          0 |          0 |          5 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/compiled_contracts/factoryContract.json  | JSON             |          5 |          0 |          0 |          5 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/compiled_contracts/testDeploy.json       | JSON             |          5 |          0 |          1 |          6 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/csrSmartContract.sol                     | Solidity         |         14 |          1 |          7 |         22 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/factoryContract.sol                      | Solidity         |         22 |          1 |          7 |         30 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/testDeploy.sol                           | Solidity         |         31 |         12 |          7 |         50 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/keeper/test_contracts/turnstile.sol                            | Solidity         |         86 |         33 |         36 |        155 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/module.go                                                      | Go               |        116 |         36 |         36 |        188 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/codec.go                                                 | Go               |         18 |          3 |          6 |         27 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/csr.go                                                   | Go               |         31 |          5 |          6 |         42 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/csr.pb.go                                                | Go               |        415 |         13 |         21 |        449 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/csr_test.go                                              | Go               |         72 |          1 |          8 |         81 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/errors.go                                                | Go               |         10 |          1 |          3 |         14 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/events.go                                                | Go               |         18 |          2 |          6 |         26 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/genesis.go                                               | Go               |         10 |          4 |          4 |         18 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/genesis.pb.go                                            | Go               |        294 |         10 |         19 |        323 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/genesis_test.go                                          | Go               |         37 |          1 |          9 |         47 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/interfaces.go                                            | Go               |         22 |          3 |          8 |         33 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/keys.go                                                  | Go               |         25 |          9 |         10 |         44 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/params.go                                                | Go               |         59 |          6 |         17 |         82 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/params.pb.go                                             | Go               |        332 |         11 |         19 |        362 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/params_test.go                                           | Go               |         73 |          0 |          8 |         81 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/query.pb.go                                              | Go               |      1,939 |         41 |        119 |      2,099 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/csr/types/query.pb.gw.go                                           | Go               |        382 |         21 |        101 |        504 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/epochs/client/cli/query.go                                         | Go               |         85 |          5 |         20 |        110 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/epochs/genesis.go                                                  | Go               |         21 |          5 |          8 |         34 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/epochs/genesis_test.go                                             | Go               |         96 |          5 |         16 |        117 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/epochs/keeper/abci.go                                              | Go               |         45 |          3 |         17 |         65 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/epochs/keeper/abci_test.go                                         | Go               |        183 |         12 |         20 |        215 |
| /Users/tkkwon/Github/2022-11-canto/Canto/x/epochs/keeper/epoch_infos.go                                       | Go               |         48 |          5 |         14 |         67 |
